,loss_train
0,2.239870071411133
1,1.870236873626709
2,1.6273897886276245
3,1.3132312297821045
4,1.0548123121261597
5,0.8055242300033569
6,0.5551576614379883
7,0.3920898735523224
8,0.2792927324771881
9,0.196736142039299
10,0.15676987171173096
11,0.1291177123785019
12,0.11506464332342148
13,0.09490520507097244
14,0.07039999216794968
15,0.05553107336163521
16,0.04561102017760277
17,0.03703910857439041
18,0.032833319157361984
19,0.030702020972967148
