,loss_train
0,2.0288262367248535
1,1.8356329202651978
2,2.0091934204101562
3,1.8562954664230347
4,1.9058332443237305
5,1.9650498628616333
6,1.7579116821289062
7,2.1385014057159424
8,2.146636962890625
9,1.7615317106246948
10,2.1618852615356445
11,1.9384266138076782
12,1.3796944618225098
13,1.9669746160507202
14,1.8732300996780396
15,1.9796222448349
16,1.4641354084014893
17,2.043879747390747
18,1.7824686765670776
19,1.6069318056106567
20,1.7007112503051758
21,1.7896124124526978
22,1.688767910003662
23,1.8788986206054688
24,1.8598300218582153
25,1.8425101041793823
26,1.7673066854476929
27,1.4531749486923218
28,1.7165553569793701
29,2.391514778137207
30,1.8046395778656006
31,1.736953854560852
32,1.8365951776504517
33,1.8384290933609009
34,1.9047867059707642
35,1.8209741115570068
36,1.7124477624893188
37,1.5728895664215088
38,1.9006620645523071
39,1.9848039150238037
40,1.77225923538208
41,1.7872525453567505
42,1.8178962469100952
43,1.4874603748321533
44,1.5199731588363647
45,1.3697724342346191
46,1.7174121141433716
47,1.854884386062622
48,1.7528060674667358
49,1.602533221244812
50,1.69852876663208
51,1.7341336011886597
52,1.7045314311981201
53,1.7811334133148193
54,1.783402681350708
55,2.114169120788574
56,1.6540708541870117
57,1.6694412231445312
58,1.7793573141098022
59,1.5530531406402588
60,1.581207275390625
61,1.4347922801971436
62,1.5697226524353027
63,1.836317539215088
64,1.6255139112472534
65,1.5379986763000488
66,1.4994503259658813
67,1.8219363689422607
68,1.5258694887161255
69,1.4906775951385498
70,1.7044084072113037
71,1.6288810968399048
72,1.3838218450546265
73,1.5712175369262695
74,1.7649133205413818
75,1.467960238456726
76,1.268568515777588
77,1.3234591484069824
78,1.6783628463745117
79,1.7053499221801758
80,1.7980704307556152
81,1.616545557975769
82,1.913221836090088
83,1.488301396369934
84,1.753210425376892
85,1.426173210144043
86,1.3130946159362793
87,1.6225568056106567
88,1.7033354043960571
89,1.5833343267440796
90,1.582908272743225
91,1.7102400064468384
92,1.3513789176940918
93,1.7204166650772095
94,1.6588809490203857
95,1.5739529132843018
96,1.5284132957458496
97,1.4692773818969727
98,1.513639211654663
99,1.4922103881835938
100,1.6002910137176514
101,1.6613433361053467
102,1.4947258234024048
103,1.7261221408843994
104,1.5302737951278687
105,1.6230663061141968
106,1.409414529800415
107,1.3612513542175293
108,1.2950787544250488
109,1.3529725074768066
110,1.5379784107208252
111,1.6669186353683472
112,1.6030367612838745
113,1.4252238273620605
114,1.6562964916229248
115,1.4547173976898193
116,1.3161749839782715
117,1.3571114540100098
118,1.8056612014770508
119,1.6534488201141357
120,1.730276346206665
121,1.3343148231506348
122,1.644255518913269
123,1.4836937189102173
124,1.5936686992645264
125,1.391404628753662
126,1.510716438293457
127,1.4571537971496582
128,1.2283949851989746
